Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Oman,Eastern Mediterranean,126719,24814.62,1393,215,1475,288.84,21,3,Community transmission
Greece,Europe,126372,12124.28,8327,1199,3785,363.14,591,98,Community transmission
Egypt,Eastern Mediterranean,122609,1198.12,3328,523,6966,68.07,153,23,Clusters of cases
Ethiopia,Africa,117542,1022.43,3807,300,1813,15.77,58,4,Community transmission
Denmark,Europe,116087,20041.95,21288,2992,961,165.91,60,11,Community transmission
Honduras,Americas,114642,11574.61,2935,283,2989,301.78,39,14,Community transmission
Tunisia,Eastern Mediterranean,113241,9581.58,7796,1483,3956,334.73,288,41,Community transmission
Myanmar,South-East Asia,109512,2012.73,9081,1170,2292,42.12,160,24,Clusters of cases
Venezuela,Americas,108125,3802.41,3683,339,960,33.76,41,6,Community transmission
Bosnia and Herzegovina,Europe,102330,31190.38,6309,869,3457,1053.7,376,66,Community transmission
Lithuania,Europe,99869,36685.67,19313,3417,907,333.18,203,44,Community transmission
Slovenia,Europe,98282,47275.1,10340,1525,2081,1000.99,168,22,Clusters of cases
China,Western Pacific,95279,64.76,779,112,4764,3.24,11,3,Clusters of cases
Paraguay,Americas,94223,13210.3,5500,641,1971,276.34,99,18,Community transmission
Algeria,Africa,93065,2122.3,3649,468,2623,59.82,84,14,Community transmission
Kenya,Africa,92459,1719.49,3880,404,1604,29.83,73,11,Community transmission
Libya,Eastern Mediterranean,92017,13391.51,4031,660,1319,191.96,64,5,Community transmission
Bahrain,Eastern Mediterranean,89444,52565.42,1151,177,348,204.52,5,0,Clusters of cases
Malaysia,Western Pacific,86618,2676.2,11312,1772,422,13.04,34,3,Clusters of cases
Kyrgyzstan,Europe,78151,11978.64,2139,241,1317,201.86,14,1,Clusters of cases
Ireland,Europe,76776,15548.67,2094,327,2134,432.18,37,8,Community transmission
Uzbekistan,Europe,75396,2252.7,1044,155,612,18.29,1,0,Clusters of cases
North Macedonia,Europe,74732,35870.56,5280,881,2169,1041.1,192,22,Community transmission
Nigeria,Africa,74132,359.62,3937,758,1200,5.82,18,3,Community transmission
Puerto Rico,Americas,63419,22167.86,5103,434,1294,452.31,88,12,Community transmission
Singapore,Western Pacific,58341,9972.24,56,16,29,4.96,0,0,Sporadic cases
Ghana,Africa,53386,1718.09,886,372,327,10.52,1,0,Community transmission
Albania,Europe,50000,17374.4,5564,809,1028,357.22,92,12,Clusters of cases
Afghanistan,Eastern Mediterranean,49703,1276.78,1337,219,2001,51.4,93,26,Clusters of cases
Kosovo,Europe,47160,25349.65,3322,294,1210,650.4,83,17,Community transmission
KR,Western Pacific,45442,886.34,6026,1078,612,11.94,56,12,Clusters of cases
Luxembourg,Europe,42249,67492.79,3773,349,418,667.76,58,8,Community transmission
Montenegro,Europe,42192,67177.65,2111,0,597,950.54,41,0,Clusters of cases
El Salvador,Americas,42132,6495.63,1787,252,1212,186.86,44,7,Community transmission
Norway,Europe,41334,7624.45,2631,331,395,72.86,34,2,Clusters of cases
Sri Lanka,South-East Asia,34121,1593.45,4743,643,154,7.19,12,0,Clusters of cases
Finland,Europe,31459,5677.78,3217,349,466,84.1,41,5,Community transmission
Uganda,Africa,28168,615.82,4968,402,225,4.92,18,1,Community transmission
Australia,Western Pacific,28047,1099.89,60,8,908,35.61,0,0,Clusters of cases
Latvia,Europe,26472,14034.58,4368,587,357,189.27,69,5,Clusters of cases
Cameroon,Africa,25472,959.55,509,113,445,16.76,2,0,Community transmission
SD,Eastern Mediterranean,21864,498.62,1396,0,1372,31.29,53,0,Community transmission
CI,Africa,21717,823.29,204,12,133,5.04,1,0,Community transmission
Estonia,Europe,18687,14087.08,3177,301,157,118.35,20,3,Clusters of cases
Zambia,Africa,18428,1002.4,497,106,368,20.02,4,1,Community transmission
Madagascar,Africa,17587,635.12,114,0,259,9.35,4,0,Community transmission
Senegal,Africa,17216,1028.19,620,70,350,20.9,10,0,Community transmission
Mozambique,Africa,17042,545.25,669,40,144,4.61,8,1,Community transmission
Namibia,Africa,16913,6656.29,1615,187,164,64.54,10,1,Community transmission
Angola,Africa,16362,497.84,633,85,372,11.32,17,0,Community transmission
French Polynesia,Western Pacific,15870,56495.37,538,123,97,345.31,11,1,Sporadic cases
Cyprus,Europe,15789,13077.3,2503,339,84,69.57,16,2,Clusters of cases
CD,Africa,14511,162.02,762,51,358,4,14,2,Community transmission
Guinea,Africa,13457,1024.69,193,26,80,6.09,1,1,Community transmission
Maldives,South-East Asia,13392,24775.04,144,13,48,88.8,1,0,Clusters of cases
Botswana,Africa,12873,5474.08,815,372,38,16.16,4,1,Community transmission
Tajikistan,Europe,12798,1341.84,206,0,87,9.12,0,0,Pending
French Guiana,Americas,11906,39861.79,393,51,71,237.71,0,0,Community transmission
Jamaica,Americas,11875,4010.24,604,83,276,93.21,11,3,Community transmission
Zimbabwe,Africa,11522,775.22,683,164,310,20.86,16,1,Community transmission
Cabo Verde,Africa,11395,20495.08,769,34,110,197.85,5,0,Community transmission
Malta,Europe,11303,25598.87,604,49,177,400.87,20,3,Clusters of cases
Mauritania,Africa,10971,2359.53,1455,0,225,48.39,37,0,Community transmission
Uruguay,Americas,10029,2887.1,2524,321,95,27.35,12,3,Clusters of cases
Haiti,Americas,9597,841.66,198,32,234,20.52,1,0,Community transmission
Cuba,Americas,9588,846.5,606,96,137,12.1,1,0,Clusters of cases
Syrian Arab Republic,Eastern Mediterranean,9452,540.09,872,150,543,31.03,85,13,Community transmission
Belize,Americas,9377,23582.34,1424,82,197,495.44,21,2,Community transmission
Gabon,Africa,9351,4201.31,73,0,63,28.31,3,0,Community transmission
Réunion,Africa,8534,9531.87,240,0,42,46.91,1,0,Clusters of cases
Guadeloupe,Americas,8498,21238.42,47,0,152,379.88,0,0,Community transmission
Bahamas,Americas,7698,19575.63,118,8,164,417.04,1,1,Clusters of cases
Guam,Western Pacific,6988,41404.24,98,10,119,705.08,6,0,Clusters of cases
Eswatini,Africa,6912,5957.78,349,87,132,113.78,8,2,Community transmission
Trinidad and Tobago,Americas,6885,4919.66,110,6,123,87.89,1,1,Community transmission
Rwanda,Africa,6832,527.48,595,85,57,4.4,6,1,Clusters of cases
CG,Africa,6200,1123.58,151,0,100,18.12,1,0,Community transmission
Malawi,Africa,6080,317.83,29,10,187,9.78,1,0,Community transmission
Guyana,Americas,5943,7555.76,246,23,156,198.33,2,1,Clusters of cases
Mali,Africa,5878,290.26,436,42,205,10.12,25,4,Community transmission
Djibouti,Eastern Mediterranean,5749,5818.83,35,16,61,61.74,0,0,Clusters of cases
Mayotte,Africa,5616,20585.38,435,0,53,194.27,4,0,Clusters of cases
Martinique,Americas,5601,14925.45,48,0,42,111.92,1,0,Community transmission
Iceland,Europe,5578,16346.12,72,7,28,82.05,0,0,Community transmission
Suriname,Americas,5359,9135.2,34,6,117,199.44,0,0,Sporadic cases
Equatorial Guinea,Africa,5195,3702.82,29,10,85,60.59,0,0,Community transmission
Aruba,Americas,5056,47355.9,90,7,46,430.85,1,0,Community transmission
Central African Republic,Africa,4936,1022,9,0,63,13.04,0,0,Community transmission
Nicaragua,Americas,4709,710.84,0,0,162,24.45,0,0,Community transmission
Somalia,Eastern Mediterranean,4579,288.11,0,0,121,7.61,0,0,Sporadic cases
Burkina Faso,Africa,4300,205.71,831,91,73,3.49,4,2,Community transmission
Thailand,South-East Asia,4246,60.83,120,9,60,0.86,0,0,Clusters of cases
Gambia,Africa,3786,1566.62,10,1,123,50.9,0,0,Community transmission
Curaçao,Americas,3661,22310.52,487,37,11,67.04,3,0,Community transmission
Togo,Africa,3295,398.01,163,29,66,7.97,1,0,Community transmission
SS,Africa,3206,286.41,25,0,62,5.54,0,0,Community transmission
Benin,Africa,3152,260,62,62,44,3.63,0,0,Community transmission
Sierra Leone,Africa,2451,307.26,23,6,75,9.4,1,0,Community transmission
Guinea-Bissau,Africa,2447,1243.39,3,3,44,22.36,0,0,Community transmission
Lesotho,Africa,2285,1066.64,135,135,44,20.54,0,0,Community transmission
Yemen,Eastern Mediterranean,2089,70.04,6,1,607,20.35,0,0,Sporadic cases
Niger,Africa,2078,85.84,222,0,77,3.18,0,0,Community transmission
San Marino,Europe,2025,59667.63,193,43,54,1591.14,6,2,Community transmission
Jersey,Europe,1842,16930.15,504,63,32,294.12,0,0,Community transmission
United States Virgin Islands,Americas,1828,17505.39,148,21,23,220.25,0,0,Community transmission
Chad,Africa,1784,108.61,56,13,102,6.21,0,0,Community transmission
Liberia,Africa,1771,350.16,95,0,83,16.41,0,0,Community transmission
New Zealand,Western Pacific,1744,361.66,14,4,25,5.18,0,0,Clusters of cases
Liechtenstein,Europe,1633,42819.31,186,29,18,471.98,1,0,Sporadic cases
VN,Western Pacific,1405,14.43,28,3,35,0.36,0,0,Clusters of cases
Sint Maarten,Americas,1249,29126.44,94,17,26,606.32,0,0,Community transmission
Gibraltar,Europe,1082,32115.4,27,7,6,178.09,1,1,Clusters of cases
Sao Tome and Principe,Africa,1010,4608.53,5,0,17,77.57,0,0,Community transmission
Mongolia,Western Pacific,917,279.72,29,5,0,0,0,0,Clusters of cases
Saint Martin,Americas,899,23254.61,61,0,12,310.41,0,0,Community transmission
Turks and Caicos Islands,Americas,769,19861.56,13,0,6,154.97,0,0,Clusters of cases
Burundi,Africa,741,62.32,21,6,1,0.08,0,0,Community transmission
Papua New Guinea,Western Pacific,729,81.48,45,4,8,0.89,1,0,Community transmission
Eritrea,Africa,711,200.48,62,0,0,0,0,0,Sporadic cases
Monaco,Europe,678,17276.53,30,7,3,76.44,0,0,Sporadic cases
Comoros,Africa,628,722.17,12,-1,7,8.05,0,0,Community transmission
Faroe Islands,Europe,530,10846.21,16,2,0,0,0,0,Sporadic cases
Mauritius,Africa,514,404.16,9,0,10,7.86,0,0,Clusters of cases
TZ,Africa,509,8.52,0,0,21,0.35,0,0,Community transmission
Bermuda,Americas,456,7322.6,150,25,9,144.52,0,0,Clusters of cases
Bhutan,South-East Asia,439,568.94,6,1,0,0,0,0,Sporadic cases
Isle of Man,Europe,373,4386.58,3,3,25,294.01,0,0,No cases
Cambodia,Western Pacific,362,21.65,8,0,0,0,0,0,Sporadic cases
Cayman Islands,Americas,302,4595.25,12,4,2,30.43,0,0,Sporadic cases
Barbados,Americas,297,1033.49,8,1,7,24.36,0,0,Clusters of cases
Guernsey,Europe,291,4604.72,3,2,13,205.71,0,0,Community transmission
Saint Lucia,Americas,278,1513.94,8,3,4,21.78,2,0,Sporadic cases
Seychelles,Africa,185,1881.09,3,0,0,0,0,0,Sporadic cases
Saint Barthélemy,Americas,172,17400.1,8,0,0,0,0,0,Sporadic cases
Brunei Darussalam,Western Pacific,152,347.45,0,0,3,6.86,0,0,Sporadic cases
Antigua and Barbuda,Americas,148,1511.3,2,0,5,51.06,1,0,Sporadic cases
Northern Mariana Islands (Commonwealth of the),Western Pacific,113,1963.27,0,0,2,34.75,0,0,Pending
Saint Vincent and the Grenadines,Americas,98,883.36,11,0,0,0,0,0,Sporadic cases
Dominica,Americas,88,1222.38,3,0,0,0,0,0,Clusters of cases
British Virgin Islands,Americas,80,2645.77,7,4,1,33.07,0,0,Clusters of cases
Grenada,Americas,71,630.98,28,0,0,0,0,0,Sporadic cases
Fiji,Western Pacific,46,51.31,2,0,2,2.23,0,0,Sporadic cases
Lao People's Democratic Republic,Western Pacific,41,5.64,0,0,0,0,0,0,Sporadic cases
New Caledonia,Western Pacific,36,126.1,0,0,0,0,0,0,Sporadic cases
Timor-Leste,South-East Asia,31,23.51,0,0,0,0,0,0,Sporadic cases
Saint Kitts and Nevis,Americas,28,526.39,3,0,0,0,0,0,Sporadic cases
Holy See,Europe,26,32138.44,0,0,0,0,0,0,Sporadic cases
Falkland Islands (Malvinas),Americas,19,5455.07,2,0,0,0,0,0,No cases
Greenland,Europe,19,334.67,1,0,0,0,0,0,No cases
Solomon Islands,Western Pacific,17,24.75,0,0,0,0,0,0,Sporadic cases
Saint Pierre and Miquelon,Americas,14,2415.88,0,0,0,0,0,0,Sporadic cases
Montserrat,Americas,13,2600.52,0,0,1,200.04,0,0,No cases
Anguilla,Americas,10,666.58,0,0,0,0,0,0,Sporadic cases
Marshall Islands,Western Pacific,4,67.57,0,0,0,0,0,0,Sporadic cases
Wallis and Futuna,Western Pacific,4,355.68,1,0,0,0,0,0,Sporadic cases
Vanuatu,Western Pacific,1,3.26,0,0,0,0,0,0,Sporadic cases
American Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Cook Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
KP,South-East Asia,0,0,0,0,0,0,0,0,No cases
Kiribati,Western Pacific,0,0,0,0,0,0,0,0,No cases
Micronesia (Federated States of),Western Pacific,0,0,0,0,0,0,0,0,No cases
Nauru,Western Pacific,0,0,0,0,0,0,0,0,No cases
Niue,Western Pacific,0,0,0,0,0,0,0,0,No cases
Palau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Pitcairn Islands,Western Pacific,0,0,0,0,0,0,0,0,No cases
Saint Helena,Africa,0,0,0,0,0,0,0,0,No cases
Samoa,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tokelau,Western Pacific,0,0,0,0,0,0,0,0,No cases
Tonga,Western Pacific,0,0,0,0,0,0,0,0,No cases
Turkmenistan,Europe,0,0,0,0,0,0,0,0,No cases
Tuvalu,Western Pacific,0,0,0,0,0,0,0,0,No cases
